2024-09-07T20:09:44.551+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: edit('category' ,'/categories/edit/' + ${category.id})" found in template categories/categories, line 56, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('category' ,'/categories/edit/' + ${category.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.557+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: deleteCategory" found in template categories/categories, line 59, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: deleteCategory}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.565+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: status(${category.enabled} ,'category' ,'/categories/' + ${category.id})" found in template categories/categories, line 52, col 26. Please use the complete syntax of fragment expressions instead ("~{fragments :: status(${category.enabled} ,'category' ,'/categories/' + ${category.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.575+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: edit('category' ,'/categories/edit/' + ${category.id})" found in template categories/categories, line 56, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('category' ,'/categories/edit/' + ${category.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.579+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: deleteCategory" found in template categories/categories, line 59, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: deleteCategory}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.588+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: status(${category.enabled} ,'category' ,'/categories/' + ${category.id})" found in template categories/categories, line 52, col 26. Please use the complete syntax of fragment expressions instead ("~{fragments :: status(${category.enabled} ,'category' ,'/categories/' + ${category.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.593+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: edit('category' ,'/categories/edit/' + ${category.id})" found in template categories/categories, line 56, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('category' ,'/categories/edit/' + ${category.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.598+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: deleteCategory" found in template categories/categories, line 59, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: deleteCategory}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.613+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: status(${category.enabled} ,'category' ,'/categories/' + ${category.id})" found in template categories/categories, line 52, col 26. Please use the complete syntax of fragment expressions instead ("~{fragments :: status(${category.enabled} ,'category' ,'/categories/' + ${category.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-09-07T20:09:44.627+07:00  WARN 27764 --- [EShopBackEnd] [http-nio-8080-exec-1] actStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][categories/categories] Deprecated unwrapped fragment expression "fragments :: edit('category' ,'/categories/edit/' + ${category.id})" found in template categories/categories, line 56, col 30. Please use the complete syntax of fragment expressions instead ("~{fragments :: edit('category' ,'/categories/edit/' + ${category.id})}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
